id;first_name;last_name;gender;email;phone;address_line_1;address_line_2;city;country;user_id
1;Maynard;Jacobson;OTHER;"1""GA@Ut.a,3";026.954.0023 x96261;Berkshire Designer;Credit Card Account;Lake Friedrichberg;Dominican Republic;2
2;Prudence;Hilll;FEMALE;"p@[aVO.cL";1-160-853-6207 x582;deposit Sausages;disintermediate Cambridgeshire hacking;Evanchester;Botswana;1
3;Thurman;Lindgren;OTHER;"}M+iO_@_C<G^.Wo>";098.598.6132 x37788;AI optical invoice;Marketing;Treutelfurt;Mozambique;2
4;Adelbert;Hilpert;OTHER;"xbmri@'WFdlr.\N";(646) 921-7024 x317;payment calculating;local area network Benin;Fredyfurt;Eritrea;1
5;Dee;McKenzie;FEMALE;"$70~Iv@p_6\~7.oL)";(481) 274-2507 x6019;Villages uniform PCI;Automotive Tactics architectures;Marquardtshire;Wallis and Futuna;2
6;Arch;Greenholt;OTHER;"+@EIDoUo.CN";398.695.0026 x693;Open-architected;FTP;Rosettachester;Burkina Faso;2
7;Melody;Herzog;OTHER;",Sh:@5r|.[:MjGi";567-160-7370;FTP Tools California;North Dakota Garden;East Karen;Wallis and Futuna;1
8;Rogelio;McLaughlin;MALE;"wS_@h.4fY]-";640.801.5456 x61719;Buckinghamshire alliance redundant;content;Aricberg;Anguilla;1
9;Vince;Bode;FEMALE;"{.bG(@fbF.}oL";692.695.7654;system Gorgeous Rubber Pants;hack;West Bettyeton;Aruba;1
10;Alize;Hagenes;OTHER;"m!C+@j<U#_D."";e-";(463) 069-6802 x306;Borders EXE payment;Checking Account;Nitzscheside;Anguilla;2
